region_id,region_type,region
417575,neigh,Whitewing at Higley; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
275176,neigh,Rincon Heights; AZ; Tucson; Pima County
272805,neigh,Arroyo Chico; AZ; Tucson; Pima County
417580,neigh,Trilogy; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417733,neigh,Springfield Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
275128,neigh,Rancho Buena; AZ; Tucson; Pima County
417873,neigh,Cottage Grove Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273621,neigh,El Rio Acres; AZ; Tucson; Pima County
273507,neigh,Drexel Park; AZ; Tucson; Pima County
4000,neigh,Cashion; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417674,neigh,Mira Vista Place; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
275542,neigh,St. Cyrils; AZ; Tucson; Pima County
417641,neigh,El Dorado at the Highlands; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417642,neigh,Circle G at the Highlands; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
273714,neigh,Feldman's; AZ; Tucson; Pima County
274701,neigh,North Dodge; AZ; Tucson; Pima County
417559,neigh,Crossings at Crossroads; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417596,neigh,Towne Meadows; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417684,neigh,Western Skies; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417726,neigh,Lagos Vistoso; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417656,neigh,White Fence Farms; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417886,neigh,Nuestro; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
275091,neigh,Prince Tucson; AZ; Tucson; Pima County
762627,neigh,Crystal Garden; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
275757,neigh,Toumey Park; AZ; Tucson; Pima County
417921,neigh,Sierra Heights; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417906,neigh,Dana Ranch Villas; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417911,neigh,Red Mountain Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417936,neigh,Desert Sands Country Club; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
111534,neigh,Breckenridge Manor; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276419,neigh,Las Vistas; AZ; Tucson; Pima County
273676,neigh,Fairgrounds; AZ; Tucson; Pima County
417925,neigh,Salerno Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274755,neigh,North University; AZ; Tucson; Pima County
275013,neigh,Peter Howell; AZ; Tucson; Pima County
275220,neigh,Roberts; AZ; Tucson; Pima County
762669,neigh,Tres Rios Landing; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
113079,neigh,Tiburon; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
761720,neigh,Mcmillian Mesa; AZ; Flagstaff; Coconino County
267932,neigh,Holdeman; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
411347,neigh,Northgrove; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417717,neigh,Fox Crossing; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417754,neigh,Andersen Springs; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
